sample_index,true_label,predicted_label,confidence,correct
0,neutral,neutral,0.46890687942504883,True
1,fear,neutral,0.49300527572631836,False
2,angry,neutral,0.4887422025203705,False
3,neutral,neutral,0.4850422143936157,True
4,happy,neutral,0.5011224150657654,False
5,sad,neutral,0.468818724155426,False
6,happy,neutral,0.48845362663269043,False
7,neutral,neutral,0.5359486937522888,True
8,fear,neutral,0.4297443628311157,False
9,happy,neutral,0.48860523104667664,False
10,angry,neutral,0.455085813999176,False
11,neutral,neutral,0.4913126826286316,True
12,angry,neutral,0.47236302495002747,False
13,neutral,neutral,0.4926477074623108,True
14,sad,neutral,0.4745679199695587,False
15,angry,neutral,0.4690340757369995,False
16,angry,neutral,0.48392194509506226,False
17,sad,neutral,0.48801904916763306,False
18,sad,neutral,0.43985286355018616,False
19,happy,neutral,0.4707033038139343,False
20,sad,neutral,0.47545966506004333,False
21,neutral,neutral,0.4986380636692047,True
22,sad,neutral,0.5145246386528015,False
23,angry,neutral,0.49734148383140564,False
24,sad,neutral,0.46261581778526306,False
25,angry,neutral,0.5072917938232422,False
26,neutral,neutral,0.4829065799713135,True
27,sad,neutral,0.4731857180595398,False
28,sad,neutral,0.48449385166168213,False
29,neutral,neutral,0.4943699538707733,True
30,fear,neutral,0.4920790195465088,False
31,neutral,neutral,0.47109031677246094,True
32,sad,neutral,0.48888325691223145,False
33,fear,neutral,0.5065330862998962,False
34,neutral,neutral,0.5084680914878845,True
35,angry,neutral,0.48492151498794556,False
36,happy,neutral,0.48505932092666626,False
37,sad,neutral,0.4809463322162628,False
38,neutral,neutral,0.47113725543022156,True
39,neutral,neutral,0.5072883367538452,True
40,neutral,neutral,0.4880542457103729,True
41,neutral,neutral,0.5431779026985168,True
42,happy,neutral,0.4645440876483917,False
43,happy,neutral,0.49651822447776794,False
44,neutral,neutral,0.49948811531066895,True
45,fear,neutral,0.4991997182369232,False
46,sad,neutral,0.4440399706363678,False
47,sad,neutral,0.49324560165405273,False
48,sad,neutral,0.47536173462867737,False
49,neutral,neutral,0.474091112613678,True
50,neutral,neutral,0.47154736518859863,True
51,neutral,neutral,0.5071115493774414,True
52,neutral,neutral,0.4709794819355011,True
53,neutral,neutral,0.4962325692176819,True
54,fear,neutral,0.43849530816078186,False
55,happy,neutral,0.4851032495498657,False
56,sad,neutral,0.47326207160949707,False
57,neutral,neutral,0.5257166624069214,True
58,neutral,neutral,0.5059256553649902,True
59,neutral,neutral,0.4522266089916229,True
60,neutral,neutral,0.4696122705936432,True
61,neutral,neutral,0.47948235273361206,True
62,neutral,neutral,0.49861276149749756,True
63,sad,neutral,0.4853963553905487,False
64,fear,neutral,0.49341392517089844,False
65,angry,neutral,0.5220720171928406,False
66,sad,neutral,0.49986305832862854,False
67,fear,neutral,0.5249730348587036,False
68,sad,neutral,0.4472062885761261,False
69,happy,neutral,0.492404043674469,False
70,sad,neutral,0.4390091896057129,False
71,sad,neutral,0.45945343375205994,False
72,neutral,neutral,0.4953095316886902,True
73,neutral,neutral,0.5271822214126587,True
74,neutral,neutral,0.5005296468734741,True
75,neutral,neutral,0.517285943031311,True
76,neutral,neutral,0.4804479777812958,True
77,neutral,neutral,0.5017697215080261,True
78,neutral,neutral,0.49997079372406006,True
79,fear,neutral,0.47107696533203125,False
80,neutral,neutral,0.47148099541664124,True
81,angry,neutral,0.46861374378204346,False
82,angry,neutral,0.493414968252182,False
83,sad,neutral,0.48220086097717285,False
84,happy,neutral,0.4421292245388031,False
85,sad,neutral,0.5050690770149231,False
86,happy,neutral,0.4912455379962921,False
87,sad,neutral,0.49572524428367615,False
88,neutral,neutral,0.4596177041530609,True
89,neutral,neutral,0.49165281653404236,True
90,happy,neutral,0.4739071726799011,False
91,happy,neutral,0.4833516776561737,False
92,fear,neutral,0.5049650073051453,False
93,neutral,neutral,0.46594151854515076,True
94,neutral,neutral,0.48325634002685547,True
95,sad,neutral,0.4803621172904968,False
96,fear,neutral,0.48236405849456787,False
97,neutral,neutral,0.48177048563957214,True
98,angry,neutral,0.45536336302757263,False
99,neutral,neutral,0.49636587500572205,True
100,happy,neutral,0.4802999794483185,False
101,angry,neutral,0.4984532296657562,False
102,happy,neutral,0.46419575810432434,False
103,happy,neutral,0.4856654107570648,False
104,angry,neutral,0.4558025896549225,False
105,neutral,neutral,0.48227524757385254,True
106,sad,neutral,0.47227075695991516,False
107,neutral,neutral,0.4702020287513733,True
108,neutral,neutral,0.4859313666820526,True
109,angry,neutral,0.49442172050476074,False
110,neutral,neutral,0.48062166571617126,True
111,neutral,neutral,0.4920790195465088,True
112,neutral,neutral,0.4364340305328369,True
113,sad,neutral,0.49117225408554077,False
114,sad,neutral,0.46682125329971313,False
115,fear,neutral,0.4739976227283478,False
116,sad,neutral,0.4882320761680603,False
117,neutral,neutral,0.4827701449394226,True
118,fear,neutral,0.4991247355937958,False
119,sad,neutral,0.4466495215892792,False
120,happy,neutral,0.47639796137809753,False
121,neutral,neutral,0.4838164448738098,True
122,happy,neutral,0.4828760027885437,False
123,happy,neutral,0.4649423062801361,False
124,neutral,neutral,0.492140531539917,True
125,sad,neutral,0.4500216543674469,False
126,fear,neutral,0.5018118619918823,False
127,neutral,neutral,0.48493340611457825,True
128,neutral,neutral,0.47797316312789917,True
129,angry,neutral,0.47655045986175537,False
130,angry,neutral,0.48163363337516785,False
131,neutral,neutral,0.5329002141952515,True
132,neutral,neutral,0.48788461089134216,True
133,neutral,neutral,0.46920907497406006,True
134,neutral,neutral,0.4666285812854767,True
135,sad,neutral,0.5203194618225098,False
